[20:53:32] [INFO] Pipeline started — product=seese-pro-v9 template=personal-story angle=testimonial lang=en
[20:53:32] [INFO] Phase 1 | Starting | running | 0%
[20:53:32] [INFO] Phase 2 — Structuring | info_organizer | running | 30%
[20:55:12] [INFO] Phase 3 — Writing | copywriter | running | 50%
[20:57:22] [INFO] Phase 4 — Visuals | visual_strategist | running | 60%
[20:57:52] [INFO] Phase 4 — Visuals | image_prompter | running | 65%
[20:57:52] [INFO] Phase 4 — Visuals | video_prompter | running | 70%
[20:58:32] [INFO] Phase 5 — QA | qa_checker | running | 85%
[20:59:10] [INFO] Pipeline completed — html=data/output/2c9486f0/my-son-stopped-offering-to-help-and-that-s-the-best-thing-th.html words=1406
[20:59:10] [INFO] Done |  | completed | 100%
[20:59:10] [INFO] Phase 6 — Publishing | html_publisher | running | 95% (skipped — already completed)
