[16:27:21] [INFO] Pipeline started — product=seese-pro-v9 template=medical-authority angle=testimonial lang=en
[16:27:21] [INFO] Phase 1 | Starting | running | 0%
[16:27:21] [INFO] Phase 2 — Structuring | info_organizer | running | 30%
[16:28:56] [INFO] Phase 3 — Writing | copywriter | running | 50%
[16:31:24] [INFO] Phase 4 — Visuals | visual_strategist | running | 60%
[16:32:13] [INFO] Phase 4 — Visuals | image_prompter | running | 65%
[16:32:13] [INFO] Phase 4 — Visuals | video_prompter | running | 70%
[16:33:13] [INFO] Phase 5 — QA | qa_checker | running | 85%
[16:34:13] [INFO] Pipeline completed — html=data/output/bd6377e5/i-stopped-asking-my-son-to-come-help-with-the-yard-this-2-po.html words=1215
[16:34:13] [INFO] Done |  | completed | 100%
[16:34:13] [INFO] Phase 6 — Publishing | html_publisher | running | 95% (skipped — already completed)
